"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","playerid"
"Matt Boyd","- - -","57.4 %","91.2","13.9 %","82.9","","","10.9 %","73.4","17.9 %","79.5","","","","","","15440"
"Tyrell Jenkins","Braves","65.2 %","91.2","","","","","18.7 %","80.2","16.2 %","81.7","","","","","0.5 %","11378"
"Zack Godley","Diamondbacks","33.6 %","91.2","","","35.5 %","90.1","21.7 %","81.7","9.3 %","83.0","","","","","0.9 %","14862"
"Miguel Gonzalez","- - -","52.6 %","91.2","19.5 %","85.8","","","10.5 %","76.8","","","17.4 %","84.1","","","0.2 %","7024"
"Severino Gonzalez","Phillies","62.6 %","91.1","6.8 %","77.4","0.3 %","87.0","15.2 %","80.4","15.2 %","84.7","","","","","0.4 %","14697"
"Tyler Anderson","Rockies","46.0 %","91.1","20.3 %","86.4","4.2 %","87.3","0.9 %","76.2","28.6 %","81.8","","","","","0.3 %","12880"
"George Kontos","Giants","36.6 %","91.1","19.7 %","84.1","39.7 %","87.6","1.5 %","79.7","2.5 %","84.7","","","","","1.2 %","9486"
"Wei-Yin Chen","- - -","62.7 %","91.1","16.6 %","83.7","","","9.6 %","73.9","11.1 %","83.1","","","","","0.0 %","13071"
"Erasmo Ramirez","Rays","57.8 %","91.1","16.0 %","84.5","1.5 %","89.2","3.1 %","77.7","21.6 %","81.3","","","","","0.6 %","10314"
"Steve Cishek","- - -","52.7 %","91.1","46.0 %","79.4","","","","","1.2 %","83.1","","","","","0.8 %","6483"
"Nick Tropeano","Angels","51.5 %","91.0","","","","","24.5 %","80.2","19.4 %","82.2","4.6 %","80.3","","","0.4 %","12385"
"Tyler Cravy","Brewers","57.4 %","91.0","15.1 %","84.2","","","8.9 %","78.6","18.5 %","84.3","","","","","0.7 %","10770"
"Jerad Eickhoff","Phillies","53.3 %","91.0","17.8 %","82.2","","","23.8 %","75.2","5.0 %","84.0","","","","","0.4 %","12664"
"Mat Latos","- - -","60.6 %","91.0","17.4 %","85.0","0.4 %","88.6","6.5 %","75.8","4.1 %","83.4","11.1 %","80.6","","","0.3 %","3815"
"Brandon Gomes","Rays","39.9 %","91.0","32.0 %","81.3","","","5.2 %","75.6","","","22.8 %","82.6","","","1.0 %","2267"
"Adam Conley","Marlins","65.0 %","91.0","17.7 %","84.9","","","0.0 %","71.0","17.2 %","82.8","","","","","0.8 %","14457"
"Ryan Dull","Athletics","57.4 %","91.0","35.1 %","82.9","","","","","7.5 %","83.7","","","","","0.9 %","13974"
"Julio Teheran","Braves","58.8 %","90.9","24.6 %","80.8","","","8.3 %","71.7","8.3 %","82.1","","","","","0.3 %","6797"
"Fernando Salas","- - -","59.3 %","90.9","22.2 %","83.4","0.8 %","88.1","","","17.7 %","85.5","","","","","1.4 %","4971"
"Jorge de la Rosa","- - -","34.4 %","90.9","0.2 %","86.9","22.1 %","86.7","7.8 %","73.2","35.6 %","82.0","","","","","0.4 %","2047"
"Matt Shoemaker","Angels","52.0 %","90.9","14.3 %","82.2","","","4.0 %","75.3","0.0 %","84.0","29.7 %","84.4","","","0.5 %","4776"
"Joe Blanton","- - -","38.5 %","90.9","35.6 %","85.7","","","12.3 %","79.9","13.7 %","85.6","","","","","1.3 %","4849"
"A.J. Burnett","Pirates","64.0 %","90.9","","","","","29.4 %","81.8","6.7 %","85.2","","","","","0.4 %","512"
"Hector Santiago","- - -","61.8 %","90.9","6.1 %","80.7","7.0 %","86.4","5.4 %","74.7","19.6 %","82.8","0.1 %","75.3","","","0.3 %","4026"
"Kris Medlen","Royals","58.2 %","90.9","","","5.9 %","84.8","18.3 %","78.4","17.6 %","84.5","","","","","0.1 %","9417"
"Aaron Blair","Braves","58.4 %","90.9","","","","","22.6 %","78.4","19.0 %","84.7","","","","","1.3 %","14934"
"Drew Pomeranz","- - -","54.4 %","90.9","","","8.0 %","85.9","36.9 %","79.4","0.7 %","83.5","","","","","0.3 %","11426"
"Chad Qualls","- - -","59.3 %","90.9","39.0 %","85.3","","","","","","","1.7 %","81.1","","","0.6 %","2170"
"Alex Cobb","Rays","44.8 %","90.9","","","","","29.3 %","80.1","25.9 %","85.2","","","","","","6562"
"Ross Stripling","Dodgers","46.4 %","90.8","23.4 %","86.9","","","20.6 %","77.8","9.7 %","82.5","","","","","0.9 %","13273"
"Williams Perez","Braves","72.6 %","90.8","","","","","12.9 %","76.7","14.5 %","79.2","","","","","0.6 %","11592"
"Tony Sipp","Astros","49.5 %","90.8","29.3 %","80.6","","","","","21.2 %","78.1","0.1 %","78.0","","","0.2 %","8280"
"Clayton Richard","- - -","73.5 %","90.8","13.6 %","81.3","1.5 %","85.6","","","11.4 %","84.1","","","","","0.9 %","3551"
"Felix Doubront","- - -","55.6 %","90.8","","","18.4 %","87.0","12.9 %","75.7","13.1 %","83.2","","","","","0.3 %","1478"
"Mike Leake","- - -","46.4 %","90.8","9.3 %","81.1","27.2 %","89.6","9.2 %","79.4","8.0 %","85.3","","","","","0.5 %","10130"
"Yohan Flande","Rockies","53.7 %","90.8","9.7 %","84.5","","","","","36.6 %","85.1","","","","","1.4 %","5057"
"Jose Alvarez","Angels","48.6 %","90.8","24.7 %","84.6","","","9.1 %","76.6","17.6 %","79.5","","","","","1.7 %","5358"
"Matt Belisle","- - -","55.5 %","90.8","33.2 %","85.9","","","9.5 %","74.8","1.8 %","86.3","","","","","1.4 %","1837"
"Ryan Vogelsong","- - -","51.0 %","90.7","","","20.1 %","87.7","18.7 %","76.3","10.2 %","83.5","","","","","0.4 %","1011"
"Evan Scribner","- - -","50.6 %","90.7","21.3 %","86.0","","","28.1 %","71.7","0.1 %","84.0","","","","","0.5 %","7525"
"A.J. Achter","- - -","52.1 %","90.7","13.5 %","80.3","","","","","34.4 %","83.0","","","","","0.6 %","11387"
"James Shields","- - -","42.7 %","90.7","0.7 %","80.9","19.1 %","86.1","17.3 %","77.5","20.2 %","84.0","","","","","0.5 %","7059"
"Tim Adleman","Reds","63.0 %","90.7","","","","","17.7 %","75.4","19.2 %","84.1","","","","","0.5 %","10968"
"Brett Anderson","- - -","53.5 %","90.7","24.6 %","82.0","","","12.2 %","75.9","9.8 %","83.3","","","","","0.3 %","8223"
"Deolis Guerra","- - -","43.7 %","90.6","1.2 %","84.4","2.8 %","86.9","9.2 %","78.3","43.2 %","80.7","","","","","","8410"
"Erik Johnson","- - -","67.2 %","90.6","18.5 %","83.4","","","5.9 %","71.6","8.5 %","80.6","","","","","0.2 %","12520"
"Kevin Quackenbush","Padres","68.4 %","90.6","2.9 %","82.9","","","27.7 %","78.4","","","1.0 %","83.6","","","0.9 %","12360"
"Wade Miley","- - -","54.7 %","90.6","17.5 %","84.2","0.7 %","89.1","9.8 %","77.0","17.3 %","82.8","","","","","0.1 %","8779"
"Alec Asher","- - -","55.9 %","90.6","16.5 %","83.7","5.5 %","88.9","8.4 %","79.5","13.8 %","82.1","","","","","","13560"
"Rick Porcello","Red Sox","63.5 %","90.6","11.4 %","85.5","","","14.2 %","74.3","10.9 %","81.0","","","","","0.0 %","2717"
"Zach Putnam","White Sox","22.9 %","90.6","","","13.3 %","88.7","","","","","63.8 %","84.6","","","1.2 %","9080"
"Jhoulys Chacin","- - -","52.9 %","90.5","23.4 %","81.3","6.9 %","87.0","9.4 %","78.0","7.5 %","83.6","","","","","0.6 %","2608"
"Phil Hughes","Twins","54.9 %","90.5","","","21.3 %","87.6","17.8 %","76.7","6.0 %","83.6","","","","","","7450"
"Miguel Socolovich","Cardinals","43.6 %","90.5","24.6 %","82.2","","","","","31.9 %","81.9","","","","","0.8 %","6697"
"Brian Matusz","- - -","55.2 %","90.5","26.0 %","84.0","","","5.0 %","78.3","13.9 %","82.0","","","","","1.4 %","2646"
"Nick Martinez","Rangers","60.6 %","90.4","22.0 %","82.7","","","7.1 %","76.0","10.3 %","83.5","","","","","0.2 %","12730"
"Ricky Nolasco","- - -","49.1 %","90.4","31.7 %","81.2","","","11.6 %","73.1","","","7.6 %","79.8","","","0.2 %","3830"
"Tyler Duffey","Twins","56.1 %","90.4","","","","","38.4 %","80.0","5.5 %","82.6","","","","","0.3 %","13758"
"Jaime Garcia","- - -","61.8 %","90.4","","","16.8 %","82.2","4.1 %","72.2","17.4 %","82.5","","","","","0.4 %","8137"
"David Hale","Rockies","63.1 %","90.4","19.1 %","81.1","","","","","17.8 %","79.3","","","","","0.7 %","9756"
"Aaron Nola","Phillies","59.8 %","90.4","","","","","30.1 %","76.4","10.0 %","82.0","","","","","0.4 %","16149"
"Eric O'Flaherty","- - -","71.2 %","90.4","27.7 %","83.7","","","","","1.1 %","86.5","","","","","1.4 %","5746"
"Josh Smith","Reds","43.4 %","90.4","32.1 %","84.4","","","19.4 %","77.7","5.2 %","79.7","","","","","1.1 %","10946"
"Travis Wood","- - -","61.4 %","90.3","7.5 %","81.1","22.3 %","86.7","3.8 %","70.9","5.1 %","80.3","","","","","1.0 %","9884"
"Collin McHugh","Astros","34.7 %","90.3","19.6 %","86.8","14.3 %","86.7","26.7 %","72.6","4.7 %","83.0","","","","","0.3 %","7531"
"Matt Cain","Giants","51.8 %","90.3","23.1 %","84.8","","","13.2 %","76.3","11.9 %","84.5","","","","","0.2 %","4732"
"Ubaldo Jimenez","Orioles","59.6 %","90.3","15.1 %","82.7","","","5.8 %","75.4","3.8 %","82.0","15.7 %","84.5","","","0.2 %","3374"
"C.J. Wilson","Angels","51.7 %","90.3","12.4 %","82.9","10.5 %","87.6","10.2 %","77.4","15.2 %","85.0","","","","","0.4 %","3580"
"Adam Wainwright","Cardinals","42.2 %","90.3","","","29.0 %","85.4","26.3 %","74.0","2.5 %","82.4","","","","","0.5 %","2233"
"Scott Feldman","- - -","30.9 %","90.3","","","40.5 %","88.5","25.0 %","75.3","0.1 %","82.5","3.5 %","83.8","","","0.6 %","6283"
"Tyler Lyons","Cardinals","49.1 %","90.2","34.6 %","80.7","","","1.7 %","75.4","14.6 %","83.7","","","","","","11334"
"Logan Verrett","- - -","56.0 %","90.2","24.6 %","83.6","","","6.9 %","77.1","12.6 %","84.0","","","","","1.1 %","12905"
"Drew Smyly","Rays","56.0 %","90.2","","","15.4 %","84.4","23.1 %","75.9","5.5 %","80.2","","","","","0.1 %","11760"
"Yovani Gallardo","- - -","54.0 %","90.2","28.2 %","87.0","","","12.2 %","78.2","5.5 %","84.3","","","","","0.2 %","8173"
"Ryan Weber","Braves","54.7 %","90.2","","","6.9 %","88.2","23.1 %","76.0","15.3 %","81.7","","","","","0.6 %","10160"
"Andrew Triggs","Athletics","52.9 %","90.2","21.3 %","76.1","24.5 %","83.1","","","1.3 %","82.8","","","","","0.3 %","13533"
"Rich Hill","- - -","47.4 %","90.1","7.4 %","77.0","","","42.3 %","74.0","2.9 %","83.0","","","","","","4806"
"Kenta Maeda","Dodgers","42.8 %","90.1","28.5 %","81.6","0.8 %","88.5","17.2 %","72.6","10.7 %","82.6","","","","","0.8 %","18498"
"John Lamb","Reds","54.1 %","90.1","0.1 %","79.0","17.9 %","85.5","11.3 %","68.2","16.7 %","75.6","","","","","","8493"
"Jeremy Hellickson","- - -","52.5 %","90.1","","","5.6 %","85.6","17.1 %","76.9","24.9 %","80.5","","","","","0.2 %","4371"
"CC Sabathia","Yankees","44.0 %","90.1","23.9 %","79.7","17.4 %","88.6","","","14.8 %","83.6","","","","","0.2 %","404"
"Adam Morgan","Phillies","51.1 %","90.0","25.0 %","82.3","","","5.0 %","75.3","18.9 %","78.7","","","","","0.4 %","12580"
"Peter Moylan","- - -","59.6 %","90.0","36.4 %","78.2","1.7 %","86.2","","","2.3 %","84.0","","","","","","4891"
"Jerome Williams","- - -","49.1 %","90.0","","","27.4 %","87.3","6.1 %","77.3","17.3 %","83.4","","","","","0.8 %","1137"
"Dan Otero","- - -","77.3 %","90.0","8.6 %","82.3","1.9 %","87.1","1.8 %","77.1","10.5 %","82.9","","","","","0.5 %","7385"
"Neal Cotts","- - -","54.9 %","89.9","10.8 %","82.8","34.3 %","86.1","","","","","","","","","0.8 %","1797"
"Daniel Coulombe","- - -","36.3 %","89.9","29.8 %","84.1","2.3 %","87.9","27.0 %","80.0","4.6 %","83.3","","","","","0.7 %","13293"
"Zach Neal","Athletics","61.4 %","89.8","22.0 %","85.5","","","2.4 %","75.0","14.2 %","81.8","","","","","","11294"
"Tyler Wilson","Orioles","64.1 %","89.8","21.1 %","79.8","","","3.4 %","75.8","11.4 %","81.9","","","","","0.4 %","12691"
"Tommy Layne","- - -","53.0 %","89.8","13.5 %","81.5","24.1 %","85.6","3.8 %","76.5","5.6 %","83.4","","","","","1.1 %","7501"
"Christian Friedrich","- - -","52.0 %","89.8","26.2 %","84.1","","","17.9 %","76.9","3.9 %","83.4","","","","","0.5 %","7942"
"Craig Breslow","- - -","54.0 %","89.7","0.1 %","88.0","17.6 %","85.7","6.0 %","75.3","22.3 %","78.8","","","","","1.5 %","4363"
"Pat Neshek","- - -","47.5 %","89.7","45.1 %","83.1","","","","","7.5 %","68.0","","","","","1.7 %","4682"
"Nick Vincent","- - -","43.7 %","89.7","","","50.7 %","86.6","0.1 %","76.0","5.5 %","83.5","","","","","1.5 %","7555"
"Sean O'Sullivan","- - -","57.6 %","89.7","23.7 %","79.6","","","4.8 %","72.6","13.9 %","83.0","","","","","0.9 %","9137"
"Alex Wood","- - -","59.8 %","89.6","","","","","23.5 %","81.0","16.8 %","83.0","","","","","0.5 %","13781"
"Joel Peralta","- - -","51.9 %","89.6","","","","","18.5 %","77.2","","","29.6 %","80.8","","","0.4 %","2332"
"Chris Rusin","Rockies","44.2 %","89.6","6.4 %","82.3","26.3 %","86.8","4.5 %","78.5","18.7 %","81.9","","","","","0.8 %","9895"
"David Buchanan","Phillies","45.2 %","89.6","","","20.7 %","88.6","13.7 %","78.5","20.4 %","81.6","","","","","0.3 %","11176"
"Christian Bergman","Rockies","48.2 %","89.6","23.9 %","86.0","","","6.8 %","78.0","21.0 %","81.9","","","","","0.3 %","10925"
"Xavier Cedeno","- - -","3.9 %","89.6","17.8 %","81.1","57.4 %","88.1","20.9 %","79.7","","","","","","","0.9 %","36"
"Zach Duke","- - -","56.2 %","89.5","16.0 %","76.0","15.5 %","81.6","4.9 %","75.3","7.4 %","85.5","","","","","1.3 %","3840"
"Pat Dean","Twins","56.2 %","89.5","25.5 %","85.4","","","7.5 %","76.6","10.9 %","84.3","","","","","0.3 %","11350"
"Jake Peavy","Giants","46.4 %","89.5","7.5 %","80.0","31.2 %","85.5","6.8 %","79.5","8.1 %","82.9","","","","","0.2 %","1051"
"Dillon Gee","- - -","47.5 %","89.5","20.5 %","84.9","","","14.8 %","76.7","17.3 %","83.3","","","","","0.8 %","7396"
"Aaron Harang","Phillies","59.8 %","89.5","18.4 %","81.2","6.0 %","87.4","4.4 %","73.4","11.4 %","84.1","","","","","0.4 %","1451"
"Mike Fiers","- - -","48.9 %","89.5","5.0 %","81.3","11.2 %","86.0","17.5 %","73.2","17.4 %","82.8","","","","","0.3 %","7754"
"Dan Straily","- - -","51.1 %","89.4","26.5 %","83.2","","","4.3 %","72.8","18.2 %","82.4","","","","","0.5 %","9460"
"Luke Gregerson","Astros","55.3 %","89.3","43.1 %","81.7","","","","","1.6 %","79.1","","","","","0.7 %","4090"
"Vidal Nuno","- - -","33.4 %","89.3","31.6 %","84.2","8.7 %","85.0","8.9 %","78.9","17.4 %","82.6","","","","","0.5 %","9674"
"Zach Davies","Brewers","57.9 %","89.3","","","11.2 %","85.4","10.5 %","72.5","20.4 %","78.6","","","","","0.0 %","13183"
"Francisco Rodriguez","- - -","46.4 %","89.3","","","","","11.6 %","75.5","42.1 %","83.2","","","","","0.5 %","1642"
"Kyle Lohse","- - -","46.1 %","89.2","26.8 %","84.0","","","6.7 %","74.8","20.4 %","79.2","","","","","0.4 %","739"
"John Danks","White Sox","44.8 %","89.1","","","14.6 %","85.7","12.1 %","75.6","28.5 %","80.9","","","","","0.2 %","6329"
"Dallas Keuchel","Astros","53.3 %","89.1","23.0 %","78.7","11.6 %","86.2","","","12.1 %","79.1","","","","","0.1 %","9434"
"Jon Niese","- - -","50.9 %","89.1","1.5 %","80.2","22.9 %","86.8","12.6 %","74.4","12.2 %","82.8","","","","","0.4 %","4424"
"Vance Worley","- - -","64.0 %","89.1","","","28.7 %","85.2","5.2 %","75.3","2.1 %","83.4","","","","","0.5 %","6435"
"Cesar Ramos","- - -","45.2 %","89.1","28.5 %","83.2","","","13.6 %","69.3","12.7 %","82.0","","","","","0.3 %","3357"
"Louis Coleman","- - -","41.1 %","89.0","57.3 %","81.6","0.1 %","87.0","","","1.5 %","84.2","","","","","0.9 %","9720"
"Henry Owens","Red Sox","58.3 %","89.0","4.6 %","77.8","","","11.3 %","71.6","25.8 %","77.2","","","","","0.3 %","13143"
"Roberto Hernandez","- - -","55.3 %","89.0","15.6 %","84.4","","","","","29.1 %","82.7","","","","","0.4 %","3273"
"Justin Nicolino","Marlins","53.9 %","89.0","","","17.9 %","86.0","10.2 %","76.4","18.0 %","82.0","","","","","0.5 %","11754"
"Kyle Kendrick","Rockies","46.1 %","89.0","","","25.6 %","86.5","8.0 %","78.8","20.2 %","81.5","","","","","0.4 %","6230"
"Seth Maness","Cardinals","67.1 %","88.9","12.5 %","80.8","","","","","20.4 %","83.0","","","","","1.8 %","12235"
"Jerry Blevins","Mets","61.0 %","88.9","","","","","33.1 %","70.9","5.9 %","82.7","","","","","1.7 %","7841"
"Cody Martin","- - -","57.5 %","88.9","20.8 %","83.6","","","18.3 %","73.5","3.4 %","83.1","","","","","0.5 %","12182"
"Brett Oberholtzer","- - -","58.2 %","88.9","","","4.9 %","82.3","12.7 %","79.1","24.2 %","80.0","","","","","0.2 %","3855"
"Chris Heston","- - -","60.6 %","88.9","13.4 %","76.5","","","14.0 %","74.0","12.0 %","82.0","","","","","0.7 %","10302"
"Marco Estrada","Blue Jays","51.0 %","88.8","","","10.0 %","86.7","9.9 %","76.8","29.1 %","77.8","","","","","0.2 %","1118"
"Kyle Ryan","Tigers","59.6 %","88.8","3.6 %","76.2","23.6 %","84.9","4.2 %","78.5","9.1 %","82.4","","","","","1.1 %","11753"
"Burke Badenhop","Reds","58.7 %","88.6","15.7 %","81.5","","","","","25.7 %","83.4","","","","","1.4 %","9736"
"Sean Gilmartin","Mets","44.3 %","88.6","28.2 %","78.6","","","7.0 %","69.9","20.5 %","77.4","","","","","1.9 %","12781"
"Chris Capuano","- - -","45.5 %","88.6","27.2 %","81.7","","","4.0 %","74.4","23.3 %","77.8","","","","","1.0 %","1701"
"Yusmeiro Petit","- - -","49.4 %","88.6","17.8 %","85.1","","","19.6 %","77.0","13.2 %","81.6","","","","","0.9 %","4020"
"Huston Street","Angels","42.4 %","88.4","36.7 %","83.1","","","","","20.9 %","81.2","","","","","2.0 %","8258"
"Blaine Hardy","Tigers","43.6 %","88.4","15.1 %","84.0","","","21.7 %","76.4","19.6 %","79.1","","","","","0.9 %","6499"
"Wandy Rodriguez","Rangers","60.9 %","88.4","","","","","34.4 %","74.5","4.8 %","81.9","","","","","0.3 %","2586"
"Joe Smith","- - -","66.3 %","88.3","31.4 %","80.0","","","","","2.3 %","78.6","","","","","1.4 %","3281"
"Carlos Villanueva","- - -","44.2 %","88.2","32.2 %","82.5","","","10.4 %","72.6","13.2 %","81.5","","","","","1.0 %","4138"
"Tim Hudson","Giants","54.6 %","88.1","24.3 %","82.2","","","11.4 %","75.2","","","9.7 %","80.4","","","0.3 %","921"
"Bartolo Colon","- - -","86.7 %","88.1","7.4 %","82.1","0.2 %","87.7","","","5.8 %","81.2","","","","","0.5 %","375"
"Hisashi Iwakuma","Mariners","46.7 %","87.9","18.9 %","80.9","5.7 %","84.9","8.3 %","71.2","","","20.5 %","83.5","","","0.3 %","13048"
"Josh Tomlin","Indians","42.3 %","87.9","","","35.7 %","85.2","14.7 %","75.0","7.3 %","83.1","","","","","0.2 %","9388"
"Kyle Hendricks","Cubs","66.6 %","87.8","","","2.1 %","87.7","7.7 %","76.0","23.6 %","80.0","","","","","0.4 %","12049"
"Tommy Milone","- - -","47.6 %","87.8","0.2 %","79.3","12.1 %","86.5","12.3 %","73.8","27.9 %","81.3","","","","","0.4 %","7608"
"A.J. Griffin","Rangers","54.0 %","87.7","17.2 %","83.3","","","19.2 %","66.6","9.7 %","80.9","","","","","0.2 %","11132"
"Colby Lewis","Rangers","51.1 %","87.7","34.1 %","82.4","","","8.0 %","76.7","6.8 %","82.8","","","","","0.2 %","1259"
"Justin Masterson","Red Sox","68.8 %","87.4","31.2 %","78.5","","","","","","","","","","","0.1 %","2038"
"Tim Lincecum","- - -","46.2 %","87.4","16.3 %","79.7","","","11.2 %","73.7","26.3 %","81.1","","","","","0.3 %","5705"
"Chris Young","Royals","52.1 %","87.1","46.2 %","81.3","","","0.2 %","70.8","1.5 %","80.0","","","","","0.3 %","3196"
"Mike Bolsinger","Dodgers","44.8 %","87.1","20.5 %","79.9","","","34.0 %","79.0","0.8 %","82.7","","","","","0.6 %","11137"
"Jason Vargas","Royals","55.3 %","86.9","","","","","13.9 %","74.0","30.8 %","80.4","","","","","0.4 %","8044"
"Sergio Romo","- - -","33.1 %","86.9","62.6 %","77.0","","","","","4.3 %","81.6","","","","","1.0 %","9817"
"Koji Uehara","- - -","46.7 %","86.9","","","3.3 %","81.7","","","","","50.1 %","78.8","","","0.5 %","9227"
"Wade LeBlanc","- - -","34.6 %","86.9","0.1 %","86.0","29.3 %","84.2","6.8 %","74.1","29.2 %","77.8","","","","","","5221"
"Kyle Lobstein","- - -","61.2 %","86.7","","","18.6 %","81.8","7.3 %","75.6","13.0 %","79.3","","","","","0.6 %","9178"
"Doug Fister","- - -","67.2 %","86.7","11.8 %","82.3","0.0 %","85.0","11.9 %","70.6","9.1 %","78.9","","","","","0.3 %","9425"
"Darren O'Day","Orioles","54.8 %","86.6","45.0 %","79.4","","","","","0.3 %","79.2","","","","","0.5 %","3321"
"J.P. Howell","- - -","55.3 %","86.1","","","","","40.9 %","79.1","3.8 %","80.5","","","","","0.5 %","8245"
"Dan Haren","- - -","37.7 %","86.1","","","40.9 %","83.4","14.3 %","76.4","","","7.1 %","82.0","","","0.3 %","1757"
"Alex Claudio","Rangers","51.9 %","85.4","16.2 %","74.5","7.4 %","79.3","","","24.6 %","67.9","","","","","0.7 %","12890"
"Josh Collmenter","- - -","65.9 %","84.7","","","","","6.2 %","70.2","27.9 %","76.5","","","","","0.6 %","7312"
"Javier Lopez","Giants","72.6 %","84.4","4.4 %","71.5","20.0 %","77.7","","","3.0 %","77.8","","","","","1.2 %","1663"
"Pat Venditte","- - -","47.9 %","84.3","50.7 %","72.7","","","","","1.5 %","78.0","","","","","0.6 %","7108"
"Brad Ziegler","- - -","61.2 %","83.8","14.9 %","73.5","","","","","23.9 %","76.6","","","","","1.9 %","7293"
"Mark Buehrle","Blue Jays","50.6 %","83.4","","","15.7 %","79.4","8.5 %","71.3","25.2 %","78.6","","","","","0.4 %","225"
"Steven Wright","Red Sox","13.3 %","83.3","","","","","2.1 %","66.2","","","","","84.5 %","73.2","0.1 %","8185"
"Jered Weaver","- - -","45.4 %","83.2","14.5 %","76.6","","","21.9 %","68.5","18.3 %","74.9","","","","","0.4 %","4235"
"R.A. Dickey","- - -","11.6 %","81.9","","","","","0.3 %","70.3","2.7 %","71.3","","","85.4 %","76.1","0.1 %","1245"
"Bryan Shaw","Indians","","","18.7 %","80.9","81.1 %","92.9","","","","","0.3 %","83.8","","","0.7 %","8110"
